ID,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,0,98178,47.5112,-122.257,1340,5650
2,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,1,98125,47.721,-122.319,1690,7639
3,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,0,98028,47.7379,-122.233,2720,8062
4,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,0,98074,47.6168,-122.045,1800,7503
5,1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,0,98053,47.6561,-122.005,4760,101930
6,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,0,98003,47.3097,-122.327,2238,6819
7,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,0,98198,47.4095,-122.315,1650,9711
8,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,0,98146,47.5123,-122.337,1780,8113
9,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,0,98038,47.3684,-122.031,2390,7570
10,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,0,98007,47.6007,-122.145,2210,8925
11,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,0,98115,47.69,-122.292,1330,6000
12,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,0,98028,47.7558,-122.229,1780,12697
13,400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,0,98074,47.6127,-122.045,1370,10208
14,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,0,98107,47.67,-122.394,1360,4850
15,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,0,98126,47.5714,-122.375,2140,4000
16,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,0,98019,47.7277,-121.962,1890,14018
17,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,0,98103,47.6648,-122.343,1610,4300
18,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,0,98002,47.3089,-122.21,1060,5095
19,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,0,98133,47.7025,-122.341,1400,4980
20,2000000,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,0,98040,47.5316,-122.233,4110,20336
21,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,0,98092,47.3266,-122.169,2240,7005
22,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,0,98030,47.3533,-122.166,1220,8386
23,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,0,98030,47.3739,-122.172,2200,6865
24,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,0,98002,47.3048,-122.218,1030,4705
25,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,0,98119,47.6386,-122.36,1760,3573
26,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,0,98112,47.6221,-122.314,1860,3861
27,438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,0,98115,47.695,-122.304,1520,6235
28,719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,0,98052,47.7073,-122.11,2630,6026
29,280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,0,98133,47.7274,-122.357,1390,1756
30,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,0,98117,47.6823,-122.368,1460,5000
31,535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,0,98117,47.6889,-122.375,1570,5080
32,322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,0,98058,47.4276,-122.157,2020,8720
33,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,1,98115,47.6827,-122.31,1590,3264
34,550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,0,98052,47.6621,-122.132,2160,11467
35,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,0,98107,47.6702,-122.362,1730,4700
36,605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,0,98056,47.5301,-122.18,2620,11884
37,625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,0,98074,47.6145,-122.027,2470,5669
38,775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,0,98166,47.445,-122.347,2410,30617
